Crash Number,Date Time,Day of Week,Object 1,Object 2,Street Number,Street Name,Cross Street,LOCATION,Latitude,Longitude,Coordinates
30119,01/01/2014 03:30:00 PM,Wednesday,Auto,Parked Vehicle,229,FRESH POND PKY,,"229 FRESH POND PKY Cambridge, MA",0,0,"(0, 0)"
30120,01/01/2014 12:00:00 PM,Wednesday,Auto,Auto,,Sixth St,Cambridge St,"Sixth St & Cambridge St Cambridge, MA",42.3716545,-71.0847931,"(42.3716545, -71.0847931)"
30121,12/31/2014 12:15:00 PM,Tuesday,Auto,Parked Vehicle,168,FRESH POND PKY,,"168 FRESH POND PKY Cambridge, MA",0,0,"(0, 0)"
30122,01/03/2014 01:40:00 AM,Friday,Auto,Fixed Object,,Hampshire St,Tremont St,"Hampshire St & Tremont St Cambridge, MA",42.3715019,-71.0981216,"(42.3715019, -71.0981216)"
30123,01/03/2014 02:05:00 PM,Friday,Auto,Auto,,Cambridge St,HUNTING ST,"Cambridge St & HUNTING ST Cambridge, MA",42.3724785,-71.0912018,"(42.3724785, -71.0912018)"
30124,01/05/2014 07:44:00 PM,Sunday,Auto,Auto,,Broadway,,"Broadway &  Cambridge, MA",0,0,"(0, 0)"
30125,01/05/2014 09:45:00 AM,Sunday,Auto,Auto,109,PEARL ST,,"109 PEARL ST Cambridge, MA",42.3619995,-71.1055527,"(42.3619995, -71.1055527)"
30126,01/06/2014 09:45:00 AM,Monday,Auto,Truck,468,Broadway,,"468 Broadway Cambridge, MA",42.3739777,-71.1128082,"(42.3739777, -71.1128082)"
30127,01/03/2014 07:00:00 AM,Friday,Auto,Auto,19,Chauncy St,,"19 Chauncy St Cambridge, MA",42.3796883,-71.1221466,"(42.3796883, -71.1221466)"
30128,01/06/2014 09:45:00 AM,Monday,Auto,Auto,,Massachusetts Ave,MEACHAM RD,"Massachusetts Ave & MEACHAM RD Cambridge, MA",42.3950806,-71.1276398,"(42.3950806, -71.1276398)"
30129,01/06/2014 01:00:00 PM,Monday,Auto,Parked Vehicle,55,Sacramento St,,"55 Sacramento St Cambridge, MA",42.3825607,-71.1144028,"(42.3825607, -71.1144028)"
30130,01/06/2014 07:29:00 PM,Monday,Auto,Parked Vehicle,,LEE ST,West St,"LEE ST & West St Cambridge, MA",42.3701477,-71.105484,"(42.3701477, -71.105484)"
30131,01/07/2014 12:01:00 PM,Tuesday,Auto,Parked Vehicle,,MAIN ST,Newtowne Ct,"MAIN ST & Newtowne Ct Cambridge, MA",0,0,"(0, 0)"
30132,01/06/2014 02:38:00 PM,Monday,Auto,Auto,,Broadway,West Pl,"Broadway & West Pl Cambridge, MA",42.3703384,-71.1036148,"(42.3703384, -71.1036148)"
